"row ID","B01","B02","B03","B04","B05","B06","B07","B08","B8A","B11","B12","ALBEDO","IBI","NDBI","NDVI","NDWI","LANDCOVER"
"42017",1319,1334,1613,1411,1834,4132,5524,5572,5784,3354,2145,0.3092472553253174,0.1485000550746917,-0.2484875619411468,0.5958756804466248,-0.5510090589523315,"40"
"73175",1755,2010,2598,3192,3522,4175,4446,5000,4862,5231,4067,0.3736671507358551,0.3787053227424621,0.0225784387439489,0.220703125,-0.316135823726654,"40"
"8766",1411,1576,2024,1772,2791,4507,4909,5120,5337,4435,3000,0.3255822360515594,0.2513304650783539,-0.0716902166604995,0.4857806265354156,-0.4333706498146057,"40"
"126243",1461,1593,1905,1850,2490,3868,4371,4772,4711,3637,2677,0.3034040629863739,0.2529999017715454,-0.1349744349718094,0.4412564039230346,-0.4293844401836395,"40"
"191288",1417,1626,1890,2032,2730,3925,4600,4717,4856,4410,3083,0.3153663277626037,0.2887347638607025,-0.0336364619433879,0.3978367149829864,-0.4278795123100281,"40"
"30389",1666,1625,2090,2042,3179,4217,4605,4732,4911,4722,3540,0.323680579662323,0.302947849035263,-0.0010577533394098,0.3971065878868103,-0.3872764706611633,"40"
"118338",1258,1221,1365,1214,1629,4733,6507,6416,6649,3230,1996,0.3274076879024505,0.069636084139347,-0.3302923440933227,0.6817824244499207,-0.6491453647613525,"40"
"52349",1521,1316,1636,1432,1826,4062,5331,5384,5563,3352,2169,0.3030877709388733,0.1620333790779113,-0.2326007336378097,0.579812228679657,-0.5339031219482422,"40"
"70309",1614,1717,2158,2738,3285,3677,3968,4094,4455,5179,3710,0.3216748833656311,0.4038524329662323,0.1170063614845275,0.1984777450561523,-0.3096609115600586,"40"
"11825",1318,1352,1640,1350,1983,4426,5330,5460,5752,3372,2096,0.3052472472190857,0.1527237892150879,-0.2364130467176437,0.6035242080688477,-0.5380281805992126,"40"
"154151",2798,3060,3440,3588,3766,3951,4110,3684,4148,3826,3145,0.3495738208293915,0.4931324124336242,0.0189081225544214,0.0132013205438852,-0.0342504195868968,"50"
"314436",1479,1653,2064,2138,2632,4140,4588,4568,4892,4273,2939,0.3126152157783508,0.3096790909767151,-0.0333672650158405,0.3623620569705963,-0.377563327550888,"40"
"264182",1449,1468,1785,1642,2327,4230,4755,4852,5060,3854,2573,0.3007375001907348,0.2333227396011352,-0.1146335825324058,0.4943024218082428,-0.4621063768863678,"40"
"270133",1388,1403,1614,1456,2163,4346,5079,5384,5270,3247,2135,0.3038213849067688,0.1588507145643234,-0.247595876455307,0.5742689967155457,-0.5387253761291504,"40"
"265721",1414,1470,1810,1656,2359,4297,4807,4884,5077,4050,2672,0.3050332963466644,0.2388680279254913,-0.0933512449264526,0.4935779869556427,-0.459217220544815,"40"
"264208",1616,1480,1767,1805,2193,3810,4382,4476,4609,3542,2362,0.2861394584178924,0.2611332237720489,-0.11648790538311,0.425250768661499,-0.433925986289978,"30"
"7736",1319,1381,1676,1591,2112,3797,4323,4451,4612,3598,2427,0.2794257700443268,0.2438472062349319,-0.1059758961200714,0.4733532071113586,-0.4529133439064026,"30"
"243249",1712,1346,1618,1476,2299,3830,4357,4919,4705,3587,2741,0.2930310070514679,0.2001944780349731,-0.1565953493118286,0.5383893847465515,-0.5049716830253601,"10"
"282133",2379,2156,2406,2586,2970,3036,3127,2778,3249,4109,3776,0.2750333547592163,0.5021325349807739,0.1932626664638519,0.0357941836118698,-0.0717592611908912,"50"
"240957",1532,1384,1670,1524,2101,3703,4615,4677,4862,3512,2447,0.285149484872818,0.2201239168643951,-0.1422640085220337,0.508466362953186,-0.4737671315670013,"40"
"130228",1706,2204,2400,2584,2600,3119,3422,3286,3567,3771,3194,0.2874519824981689,0.445042997598648,0.0687260851264,0.1195911392569542,-0.1558213084936142,"50"
"1176",1442,1670,2058,2178,2599,3422,3918,4332,4190,3655,2611,0.2971521019935608,0.3143018782138824,-0.0847627371549606,0.3308755755424499,-0.3558685481548309,"30"
"135526",1578,1897,2250,2638,3195,3804,4213,4364,4659,5330,3865,0.3368342816829681,0.3828388750553131,0.0996492654085159,0.2465009987354278,-0.319625049829483,"40"
"42902",1682,1980,2370,2986,3546,3892,4218,4352,4647,5381,3925,0.3460617959499359,0.4082740545272827,0.1057227998971939,0.1861542612314224,-0.2948527336120605,"40"
"250968",2739,2896,3458,3818,4235,4238,4258,3930,4116,5615,5977,0.3886072337627411,0.5087123513221741,0.1765322089195251,0.0144553435966372,-0.0638873875141143,"50"
"250596",1602,2144,2588,3114,3473,3813,4063,4244,4336,5402,4200,0.3519708216190338,0.4291331768035888,0.1200497597455978,0.1535743474960327,-0.2423887550830841,"40"
"83640",1471,1548,1872,1936,2496,3590,3951,4024,4262,4293,3074,0.2867871522903442,0.3285790085792541,0.03234339132905,0.3503355681896209,-0.3649932146072387,"40"
"115727",1633,1717,1808,1896,2390,3196,3428,3352,3528,3708,3134,0.2595925331115722,0.3666381537914276,0.0504249297082424,0.2774390280246734,-0.2992247939109802,"50"
"205892",1945,2358,2560,2760,3078,3217,3350,3162,3479,3993,3664,0.2956366240978241,0.4767191708087921,0.1161425560712814,0.0678824707865715,-0.105207972228527,"50"
"278371",1810,2124,2488,2968,3187,3196,3293,3323,3420,4489,4066,0.3053794503211975,0.4806332290172577,0.149257555603981,0.0564298219978809,-0.1436930000782013,"40"
"21853",1268,1235,1552,1403,2032,3930,4776,4371,5080,3255,2258,0.2643096148967743,0.2169636487960815,-0.1463414579629898,0.5140284299850464,-0.4759412407875061,"10"
"95929",1426,1302,1602,1613,2592,3838,4391,4172,4594,4454,3215,0.280212253332138,0.2853983044624328,0.0326918624341487,0.4423508942127228,-0.445098727941513,"40"
"334479",1644,1615,1954,1832,2388,3883,4274,4692,4722,3620,2605,0.3010492324829101,0.2588630616664886,-0.1289701610803604,0.4383813738822937,-0.4119771420955658,"30"
"195471",1772,2090,2544,3412,3821,4004,4294,4500,4778,5736,4206,0.3675664663314819,0.4303188025951385,0.120750293135643,0.1375126391649246,-0.2776831388473511,"40"
"241205",1730,2028,2382,2936,3362,3503,3579,3611,3738,4958,4147,0.3169925808906555,0.4574740529060364,0.1571945399045944,0.1031006574630737,-0.2050725817680359,"40"
"209424",1363,1349,1626,1446,2094,3720,4172,4320,4559,3212,2172,0.2659474313259125,0.226892665028572,-0.1471056789159774,0.4984391331672668,-0.4530777037143707,"40"
"52355",2078,2504,2894,3034,3159,3670,3920,4094,4167,4090,3478,0.3397359251976013,0.4222486317157745,-0.0004887585528194,0.1487093120813369,-0.1717229485511779,"50"
"278389",1548,1534,1946,1792,2494,4509,4973,4895,5186,4213,2763,0.3128943145275116,0.2580022513866424,-0.0748792290687561,0.4640347063541412,-0.4310773313045501,"30"
"147296",1359,1444,1714,1488,2133,3953,4583,4596,4735,3695,2446,0.2858565747737884,0.2305845916271209,-0.1086720526218414,0.5108481049537659,-0.4567353427410126,"30"
"295014",1452,1622,1789,1774,2276,3719,4308,4112,4508,3355,2532,0.2750902473926544,0.281642347574234,-0.1013794019818306,0.397213727235794,-0.3936620950698852,"10"
"155811",1566,1496,1899,1698,2427,4002,4602,5041,4587,3866,3112,0.3120822310447693,0.2310178279876709,-0.1319187134504318,0.4960676729679107,-0.4527377486228943,"30"
"48500",1345,1400,1705,1470,1914,4080,5195,5320,5455,3207,2050,0.3021561801433563,0.1677292585372924,-0.2478010952472686,0.5670102834701538,-0.5145907402038574,"40"
"281610",1550,1878,2060,2416,2667,2862,3013,2960,3103,3943,3619,0.2655292749404907,0.4591824412345886,0.1424018591642379,0.1011904776096344,-0.1792828738689422,"50"
"265741",1528,1553,1898,1907,2333,3927,4521,4668,4822,3628,2467,0.2989389896392822,0.2635507583618164,-0.1253616213798523,0.4199239611625671,-0.4218702316284179,"30"
"261446",1670,2056,2488,3032,3501,3920,4227,4352,4669,5364,4175,0.3506121337413788,0.4136671721935272,0.1041580885648727,0.1787648946046829,-0.2725146114826202,"40"
"261331",1438,1373,1730,1514,2266,3815,4385,4920,4585,3645,2732,0.2963072657585144,0.2107210159301757,-0.1488616466522216,0.5293751955032349,-0.4796992540359497,"10"
"149409",1415,1497,1979,1730,2559,4789,5556,5580,5779,3334,2295,0.3230288624763489,0.1896011382341385,-0.251963198184967,0.5266757607460022,-0.4763857722282409,"40"
"255967",1404,1570,1856,1738,2010,4014,5033,4892,5343,3378,2288,0.3002707958221435,0.2271273285150528,-0.1830713450908661,0.4757164418697357,-0.4499110877513885,"40"
"131960",2267,2428,2798,2932,3016,2963,2985,3074,3044,3427,3286,0.2919632792472839,0.4921394884586334,0.0542993396520614,0.0236430242657661,-0.047002725303173,"50"
"240847",2421,2758,3060,3288,3430,3407,3413,3326,3319,4343,4307,0.3310582935810089,0.5091124176979065,0.1326118111610412,0.0057453885674476,-0.0416536182165145,"50"
"13081",1782,2152,2582,2984,3276,3315,3459,3454,3596,4731,4185,0.3151373267173767,0.4754547476768493,0.1560171097517013,0.0730040371417999,-0.1444665342569351,"40"
"226354",1454,1418,1751,1637,2224,3784,4271,4488,4643,3529,2554,0.2828010320663452,0.2464456260204315,-0.1196208074688911,0.4654693901538849,-0.4386920928955078,"30"
"267068",1367,1485,1714,1608,2178,4417,4937,4820,5402,3275,2113,0.2902878224849701,0.2117445468902588,-0.1908585578203201,0.4996888637542724,-0.4753596484661102,"30"
"76224",1600,1437,1726,1880,2882,3701,4014,3954,4177,4278,3925,0.2818954586982727,0.3237989842891693,0.0393586009740829,0.3555022180080414,-0.3922535181045532,"50"
"181184",1807,2198,2726,3388,3755,3997,4313,4468,4809,5826,4513,0.3728829622268677,0.4367305636405945,0.1319215148687362,0.1374745368957519,-0.2421462386846542,"40"
"57019",2219,2400,2670,3064,3212,3834,4207,4329,4172,4001,3422,0.3418819010257721,0.3983267247676849,-0.0393757484853267,0.1711077988147735,-0.2370338588953018,"50"
"329422",1372,1420,1667,1496,2071,4089,5297,5344,5641,3284,2184,0.3047225773334503,0.1685029566287994,-0.2387575358152389,0.5625730752944946,-0.524461567401886,"40"
"178673",1720,1526,1770,1821,2393,2993,3215,3328,3472,3678,2754,0.2511595785617828,0.36043581366539,0.0499571785330772,0.2926781773567199,-0.3056100308895111,"30"
"16872",1405,1712,1889,1946,2274,3835,4385,4524,4845,3488,2447,0.2964180409908294,0.2721054852008819,-0.1293060481548309,0.3984543979167938,-0.410884141921997,"30"
"6363",1604,1379,1714,1602,2201,3895,4810,4995,5061,3752,2598,0.3009913861751556,0.2148189842700958,-0.1421058624982834,0.5143246650695801,-0.489044576883316,"40"
"64193",1305,1334,1639,1460,1887,4071,5409,5416,5688,3324,2097,0.304495632648468,0.1614101082086563,-0.2393592745065689,0.5753344893455505,-0.5353649854660034,"40"
"170244",1676,1956,2340,2334,3030,4135,4410,4524,4841,4278,3062,0.3249463737010956,0.335448145866394,-0.0279481932520866,0.3193350732326507,-0.3181818127632141,"40"
"212504",1346,1374,1654,1524,2171,3497,3941,4094,4298,3304,2292,0.261846512556076,0.2547051608562469,-0.1067856177687645,0.4574581682682037,-0.4244954884052276,"40"
"66724",1744,2204,2686,3336,3661,3735,4021,4108,4342,5277,4143,0.3517314493656158,0.4519072771072387,0.1245604678988456,0.1037076860666275,-0.2093023210763931,"40"
"24615",1631,1980,2368,3110,3511,3601,3908,4018,4276,5428,4102,0.3377229869365692,0.4409774243831634,0.1492695361375808,0.1273849606513977,-0.2583777010440826,"40"
"294996",1600,1808,2042,2164,2411,2854,3066,2664,3371,3189,2581,0.2373120784759521,0.456866443157196,0.0896975919604301,0.1035625487565994,-0.1321716904640197,"30"
"142047",2206,2278,2548,2728,2905,2885,2940,2847,2983,3718,3383,0.2782413363456726,0.5017791390419006,0.1326732635498047,0.0213452912867069,-0.0554216876626014,"50"
"236971",1665,2012,2472,2996,3482,3930,4338,4680,4781,5376,3939,0.3594014942646026,0.3884389996528625,0.069212406873703,0.2193851023912429,-0.3087248206138611,"40"
"285792",1828,2472,2678,2934,2628,2987,3105,3320,3295,3615,3084,0.3014312386512756,0.4688609838485718,0.0425378531217575,0.061720497906208,-0.107035681605339,"50"
"54338",1444,1243,1512,1309,2102,4204,4727,5072,5177,3099,1997,0.2837636470794678,0.1549922227859497,-0.2414637058973312,0.5897194743156433,-0.5407047271728516,"30"
"277363",1548,1648,2026,1912,2585,4347,4925,4752,5076,4142,2823,0.3128397762775421,0.2771450877189636,-0.0685855597257614,0.4261704683303833,-0.4021835327148437,"30"
"197094",1437,1634,1985,2116,2523,3738,4187,4055,4603,4123,2758,0.2909662425518036,0.3397263288497925,0.0083149913698434,0.3142116367816925,-0.3427152335643768,"30"
"304673",1718,1924,2290,2752,3210,3835,4194,4297,4408,4977,3992,0.333743542432785,0.3898108899593353,0.0733232721686363,0.2191800326108932,-0.3046910464763641,"40"
"70554",1805,1830,2140,2644,2709,3023,3232,3382,3334,4080,3819,0.2857154905796051,0.4384358823299408,0.093540608882904,0.1224692985415458,-0.2249185144901275,"50"
"72028",1636,1423,1790,1513,2224,4506,5312,5440,5688,3771,2397,0.3162764012813568,0.1863111853599548,-0.181196391582489,0.5647921562194824,-0.5048409700393677,"30"
"33977",1636,1460,1734,1772,2813,3792,4149,4151,4484,4418,3179,0.2866646647453308,0.3039910495281219,0.0311588291078805,0.4016545712947845,-0.4107051789760589,"30"
"156640",1390,1379,1720,1469,2435,3582,3934,4624,4122,2968,2286,0.2760690748691559,0.2043673396110534,-0.2181243449449539,0.5178073048591614,-0.4577553570270538,"10"
"162843",1238,1266,1416,1288,1434,1448,1546,1470,1452,1263,1202,0.1355193108320236,0.463196337223053,-0.0757409408688545,0.0659898445010185,-0.0187110193073749,"80"
"11523",1513,2158,2608,3026,3152,3325,3566,3478,3610,4458,3871,0.3128199577331543,0.4724602103233337,0.1234879046678543,0.0694956928491592,-0.1429510414600372,"40"
"232030",2228,1605,1752,1632,2322,3577,4020,3961,4231,3342,2607,0.2669557929039001,0.2800512909889221,-0.0847596898674964,0.4164133667945862,-0.3866620063781738,"50"
"116396",1401,1472,1722,1486,2095,4168,4799,4676,4974,3607,2354,0.2879515588283539,0.2228626459836959,-0.1290595233440399,0.517689049243927,-0.4617067873477936,"30"
"10077",1490,1638,1986,1929,2682,3931,4482,5036,4822,4378,3071,0.3256899118423462,0.2641583681106567,-0.069895900785923,0.4460875689983368,-0.4343491792678833,"40"
"193054",1561,1510,1752,1600,2346,4319,4946,4952,5307,3608,2372,0.3004801273345947,0.2150210291147232,-0.1570093482732772,0.5115995407104492,-0.4773269593715668,"30"
"163378",3527,3646,3866,4020,4010,3980,4041,4052,3934,4718,4451,0.4023385047912597,0.5050207376480103,0.0759407058358192,0.0039643212221562,-0.0234907809644937,"50"
"251010",1540,1833,2210,2792,3319,3627,3871,3934,4176,5379,3974,0.3235607445240021,0.4241081774234772,0.1551594585180282,0.1697888821363449,-0.2805989682674408,"40"
"209783",1306,1342,1592,1387,1753,3877,5050,5096,5356,3106,2032,0.2892430424690246,0.1647920310497284,-0.242623746395111,0.5721116662025452,-0.5239234566688538,"40"
"248278",1639,2058,2478,3200,3515,3883,4206,4376,4672,5512,4035,0.355254977941513,0.4231473207473755,0.1148867309093475,0.1552270352840423,-0.2769185900688171,"40"
"290507",1599,2032,2462,3010,3491,3751,4029,4148,4421,5360,4258,0.3426639437675476,0.426733136177063,0.1274715960025787,0.1589829623699188,-0.2550680935382843,"40"
"329813",1510,1493,1875,1622,2494,3922,4356,4476,4664,3448,2402,0.283925712108612,0.24967822432518,-0.129732459783554,0.4680223166942596,-0.4095418155193329,"40"
"313186",1770,1701,1929,2006,2548,3692,4181,4424,4461,4199,3152,0.3048916161060333,0.3038709461688995,-0.0260930079966783,0.3760497570037842,-0.3927278518676758,"40"
"1482",1228,1214,1408,1290,1634,3404,4590,4652,4782,2778,1878,0.2630128562450409,0.1613447815179824,-0.2522207200527191,0.5658027529716492,-0.5353135466575623,"40"
"65733",1385,1371,1706,1529,2022,4268,5591,5588,5802,3469,2222,0.3152437806129455,0.1651035547256469,-0.2339626848697662,0.5703245997428894,-0.5322182774543762,"40"
"95049",1432,1548,1776,1676,2172,3678,4190,3938,4415,3859,2633,0.2720037698745727,0.3008122444152832,-0.0101321022957563,0.4029212594032287,-0.3783689141273498,"40"
"303570",1398,1448,1690,1560,2196,3574,3988,3976,4347,3169,2205,0.2586289942264557,0.2645342946052551,-0.1129461154341697,0.4364161789417267,-0.403459221124649,"40"
"76341",1641,2007,2502,3152,3514,3675,3994,4094,4355,5170,3912,0.3395878374576568,0.4370452463626861,0.1161485314369201,0.1300027668476104,-0.2413583993911743,"40"
"243338",1481,1875,2236,2804,3330,3660,3950,4000,4340,5114,3762,0.3234606981277466,0.4162947535514831,0.1222295388579368,0.1757789552211761,-0.2828736305236816,"40"
"68296",1487,1418,1752,1568,2019,4237,5401,5596,5732,3401,2303,0.3172423839569092,0.1677529364824295,-0.2439702153205871,0.5622557401657104,-0.5231355428695679,"40"
"327724",1851,2116,2566,3242,3537,3824,4083,4256,4490,5443,4375,0.354559063911438,0.4353159070014953,0.1223837509751319,0.1352360695600509,-0.247727945446968,"40"
"179028",1527,1426,1730,1532,2417,4043,4976,5484,5253,3848,2830,0.3197695910930633,0.1842934191226959,-0.1753107607364654,0.5632839202880859,-0.5203770399093628,"40"
"262843",2839,2164,2324,2488,2600,2643,2780,2594,2764,3213,2900,0.2529281675815582,0.4987800717353821,0.1065954864025116,0.0208579301834106,-0.0549003668129444,"50"
"179385",1199,1164,1360,1205,1753,3524,4111,3692,4576,2527,1704,0.2236215472221374,0.2132152616977691,-0.1873291581869125,0.5078619718551636,-0.4615993797779083,"10"
"231588",2321,2730,3120,3288,3320,3313,3291,3320,3254,3313,2943,0.314299076795578,0.4941299557685852,-0.001055329455994,0.0048426152206957,-0.0310559011995792,"50"
"159608",1732,2046,2566,3346,3747,3947,4179,4231,4542,5609,4251,0.3552776575088501,0.4450196325778961,0.1400406509637832,0.116800844669342,-0.2449610084295272,"40"
"87113",1773,1740,2080,2816,2866,3647,3895,4176,4132,4360,3806,0.3160030841827392,0.3848422169685364,0.0215557646006345,0.1945080161094665,-0.3350383639335632,"50"
"65307",1653,1657,1978,1907,2604,3536,3872,4124,4049,3862,3014,0.2882826030254364,0.3126569390296936,-0.0328074134886264,0.3676007390022278,-0.3516879677772522,"30"
"163425",2385,1960,2192,2380,2743,3434,3624,3152,3877,4015,3063,0.2739763557910919,0.4423088729381561,0.1204130053520202,0.1395516991615295,-0.1796407252550125,"30"
"240947",1424,1478,1717,1782,2262,2721,3018,3164,3479,3559,2589,0.2412494570016861,0.367844820022583,0.0587535314261913,0.2794177234172821,-0.2964556515216827,"40"
"301729",1375,1365,1626,1506,2320,3590,3933,3750,4328,3523,2414,0.2522335648536682,0.285832792520523,-0.0312113296240568,0.4269406497478485,-0.3950892984867096,"30"
"5995",1396,1980,2192,2282,2376,3536,4196,4072,4273,3796,2945,0.3013632893562317,0.3499926626682281,-0.0350788012146949,0.2817122936248779,-0.3001277148723602,"40"
"35211",1455,1588,2007,1916,2623,3804,4240,4776,4729,4321,3148,0.315321147441864,0.27940633893013,-0.050016488879919,0.4273759722709656,-0.4082264602184295,"40"
"296255",1575,2102,2512,3102,3144,4293,4563,4516,4980,5105,3717,0.3540777564048767,0.4023571908473968,0.061220247298479,0.1856130212545395,-0.2851451337337494,"40"
"220891",1827,1687,2009,1836,2441,3178,3430,3764,3568,3126,2711,0.2662922143936157,0.3178920447826385,-0.0925979688763618,0.3442857265472412,-0.3040013909339905,"50"
"150389",1383,1403,1724,1531,1992,3913,4807,4892,5086,3382,2280,0.291618674993515,0.2052946090698242,-0.1824993938207626,0.5232757329940796,-0.4788391888141632,"40"
"196361",1526,1880,2308,2760,3193,3788,4082,4131,4381,5058,3830,0.327822744846344,0.4045980870723724,0.1008814871311187,0.198955163359642,-0.2831184864044189,"40"
"48297",1753,1948,2208,2498,2692,3448,3663,4030,3732,3628,3088,0.3013162612915039,0.3646104037761688,-0.0524941235780715,0.2346813678741455,-0.2920807898044586,"50"
"141158",1599,2094,2362,2622,3094,3641,3909,3894,4182,4758,3616,0.31883704662323,0.41099613904953,0.0998613014817237,0.1952117830514907,-0.2448849081993103,"40"
"260755",1675,2108,2370,2562,2703,3037,3156,3032,3090,3302,2918,0.269460380077362,0.4586614966392517,0.0426270924508571,0.084018588066101,-0.1225472018122673,"50"
"182775",1799,1589,1872,1915,2522,3295,3586,3924,3856,3836,3036,0.2784935534000397,0.3241327106952667,-0.0113402064889669,0.3440657556056976,-0.3540372550487518,"30"
